	Nazwa
1082	Benenard
1083	Benewicze
1084	Beniaminów
1085	Benice
1086	Benignów
1087	Benignowo
1088	Beniów
1089	Beniowa
1090	Beniówka
1091	Benkowo
1092	Benowo
1093	Beradz
1094	Berchynek
1095	Berdech
1096	Berdecha
1097	Berdechów
1098	Berdel
1099	Berdelówka
1100	Berdychów
1101	Berdychowo
1102	Berdyszcze
1103	Berdyszów
1104	Berędy
1105	Berejów
1106	Bereki
1107	Berendowice
1108	Bereść
1109	Beresie
1110	Bereska
1111	Bereśnik
1112	Berest
1113	Berestki
1114	Beresztek
1115	Bereza
1116	Berezka
1117	Bereżki
1118	Bereżnica
1119	Bereźnica-Kolonia
1120	Berezów
1121	Berezówka
1122	Berezyszcze
1123	Bergreniza
1124	Berkanowo
1125	Berkienek
1126	Berkowizna
1127	Berkówka
1128	Berkówki
1129	Berkowo
1130	Berlin
1131	Berlinek
1132	Berlinka
1133	Bernacice
1134	Bernacki
1135	Bernadówka
1136	Bernadowo
1137	Bernardów
1138	Bernardówka
1139	Bernardowo
1140	Bernardynka
1141	Bernasiowa
1142	Bernasiówka
1143	Bernatka
1144	Bernatówka
1145	Berno
1146	Bernów
1147	Bernów-Kolonia
1148	Berówka
1149	Berskie
1150	Berskówka
1151	Bertowo
1152	Bertyny
1153	Bery
1154	Berżałowce
1155	Berżniki
1156	Berzyna
1157	Berzyna-Las
1158	Besarabówka
1159	Bęściów
1160	Besek
1161	Bęsia
1162	Besiekiery
1163	Besiekiery-Kolonia
1164	Besiekierz
1165	Beskid
1166	Beskidek
1167	Besko
1168	Beśnica
1169	Bessów
1170	Bestra
1171	Bestwin
1172	Bestwina
1173	Bestwinka
1174	Bestwiny
1175	Beszowa
1176	Beszyce
1177	Beszyn
1178	Beszynek
1179	Beszyno
1180	Betkowo
1181	Betleem
1182	Betleje
1183	Betlejem
1184	Betlejówka
1185	Bętlewo
1186	Bezednia
1187	Bezek
1188	Bezek-Kolonia
1189	Bezgłowie
1190	Bezławecki
1191	Bezławki
1192	Bezledy
1193	Bezmiechowa
1194	Bezmoście
1195	Beznatka
1196	Beznazwa
1197	Beźnik
1198	Bezpraw
1199	Bezrzecze
1200	Bezula
1201	Bezwola
1202	Biadacz
1203	Biadaczek
1204	Biadaczew
1205	Biadaczka
1206	Biadaczów
1207	Biadaki
1208	Biadasów
1209	Biadaszek
1210	Biadaszka
1211	Biadaszki
1212	Biadawka
1213	Biadki
1214	Biadoliny
1215	Biadów
1216	Biady
1217	Biała
1218	Biała-Bagno
1219	Biała-Kolonia
1220	Biała-Kopiec
1221	Biała-Parcela
1222	Białachówko
1223	Białachowo
1224	Białacz
1225	Białaczów
1226	Białasówka
1227	Białasy
1228	Białaszewo
1229	Białaszewo-Kolonia
1230	Białawin
1231	Białawoda
1232	Białawy
1233	Białcz
1234	Białczyk
1235	Białczyn
1236	Białe
1237	Białe-Chorosze
1238	Białe-Figle
1239	Białe-Giezki
1240	Białe-Kwaczoły
1241	Białe-Misztale
1242	Białe-Papieże
1243	Białe-Szczepanowice
1244	Białe-Zieje
1245	Białebłoto-Kobyla
1246	Białebłoto-Kurza
1247	Białebłoto-Stara
1248	Białęciniec
1249	Białęcinko
1250	Białęcino
1251	Białęgi
1252	Białek
1253	Białężyce
1254	Białężyn
1255	Bialiki
1256	Białka
1257	Białka-Kolonia
1258	Białki
1259	Białków
1260	Białkówek
1261	Białkowice
1262	Białkowice-Młyn
1263	Białkówka
1264	Białkowo
1265	Białkowska
1266	Białobiel
1267	Białobłocie
1268	Białobłockie
1269	Białobłota
1270	Białobłoty
1271	Białoboki
1272	Białobór
1273	Białoborze
1274	Białobród-Folwark
1275	Białobród-Kolonia
1276	Białobrzeg
1277	Białobrzegi
1278	Białobrzegi-Kolonia
1279	Białobrzeskie
1280	Białobrzezie
1281	Białobrzeżki-Gajówka
1282	Białochowo
1283	Białocin
1284	Białogard
1285	Białogarda
1286	Białoglina
1287	Białogon
1288	Białogóra
1289	Białogorce
1290	Białogórne
1291	Białogóry
1292	Białogórze
1293	Białogórzynko
1294	Białogórzyno
1295	Białogrądy
1296	Białojanków
1297	Białojany
1298	Białokosz
1299	Białokoszek
1300	Białokoszyce
1301	Białokury
1302	Białołęka
1303	Białomącze
1304	Białoń
1305	Białonie
1306	Białoniowa
1307	Białoniówka
1308	Białopole
1309	Białopole-Kolonia
1310	Białorogi
1311	Białorzeczka
1312	Białorzeka
1313	Białoskóry
1314	Białośliwie
1315	Białostoczek
1316	Białosuknia
1317	Białotarsk
1318	Białotul
1319	Białousy
1320	Białowąs
1321	Białowice
1322	Białowierśnie
1323	Białowieża
1324	Białowieżyn
1325	Białówka
1326	Białowoda
1327	Białowody
1328	Białowody-Kolonia
1329	Białowola
1330	Białożewin
1331	Bialskie
1332	Białuń
1333	Białusny
1334	Białutki
1335	Białuty
1336	Białuty-Kolonia
1337	Biały
1338	Białykał
1339	Białynia
1340	Białynin
1341	Białynin-Latków
1342	Białynin-Podbór
1343	Białynin-Południe
1344	Białystoczek
1345	Białystok
1346	Białyszewo
1347	Białyszewo-Towarzystwo
1348	Biardy
1349	Bibiampol
1350	Bibiampol-Borki
1351	Bibianki
1352	Bibianna
1353	Bibianów
1354	Bibiarze
1355	Bibice
1356	Bibiela
1357	Bibijampol
1358	Bichniów
1359	Bicz
1360	Bicz-Ostatki
1361	Biczaki
1362	Biczki
1363	Biczyce
1364	Bidakowo
1365	Bidzińszczyzna
1366	Bidziny
1367	Bidziny-Folwark
1368	Bidziny-Kolonia
1369	Biebrówek
1370	Biebrowo
1371	Biebrza
1372	Biechów
1373	Biechów-Kolonie
1374	Biechówko
1375	Biechowo
1376	Biechowy
1377	Bięcino
1378	Biecz
1379	Bieczewo
1380	Bieczynko
1381	Bieczyno
1382	Bieczyny
1383	Biedacz
1384	Biedaczek
1385	Biedaczów
1386	Biedaki
1387	Biedaków
1388	Biedaszek
1389	Biedaszka
1390	Biedaszki
1391	Biedaszków
1392	Biedaszkówko
1393	Biedaszkowo
1394	Biedawa
1395	Biedkowo
1396	Biedkowo-Osada
1397	Biedocin
1398	Biedoszyce
1399	Biedów
1400	Biedowa
1401	Biedówka
1402	Biedówko
1403	Biedowo
1404	Biedrawowa
1405	Biedronie
1406	Biedroniowa
1407	Biedroniówka
1408	Biedrusko
1409	Biedrzyce-Koziegłowy
1410	Biedrzyce-Stara
1411	Biedrzychów
1412	Biedrzychowa
1413	Biedrzychowice
1414	Biedrzykowice
1415	Biedulina
1416	Bieduśki
1417	Bieduszki
1418	Biedziny
1419	Biegałka
1420	Bieganiec
1421	Bieganin
1422	Bieganinek
1423	Bieganów
1424	Bieganówek
1425	Bieganowo
1426	Bieglów
1427	Biegodzin
1428	Biegonice
1429	Biegonity
1430	Biegoszów
1431	Biegun
1432	Bieguni
1433	Bieguny
1434	Biejków
1435	Biejkowska
1436	Biekieszówka
1437	Biel
1438	Biela
1439	Bielaki
1440	Bielanka
1441	Bielanki
1442	Bielanowszczyzna
1443	Bielańscy
1444	Bielańskie
1445	Bielańskówka
1446	Bielany
1447	Bielany-Borysy
1448	Bielany-Jarosławy
1449	Bielany-Łąki
1450	Bielany-Wąsy
1451	Bielany-Żyłaki
1452	Bielarze
1453	Bielasy
1454	Bielawa
1455	Bielawka
1456	Bielawki
1457	Bielawska
1458	Bielawski
1459	Bielawy
1460	Bielcza
1461	Bielczyny
1462	Biele
1463	Bielecczyzna
1464	Bielecha
1465	Bieleckie
1466	Bieleckówka
1467	Bielejewo
1468	Bieleń
1469	Bielewicze
1470	Bielewo
1471	Bielica
1472	Bielice
1473	Bielicha
1474	Bielicki
1475	Bieliczki
1476	Bieliki
1477	Bielikowo
1478	Bielin
1479	Bielina
1480	Bielinek
1481	Bieliniec
1482	Bielino
1483	Bieliny
1484	Bieliszów
1485	Bielizny
1486	Bielki
1487	Biełki
1488	Bielkówko
1489	Bielkowo
1490	Bielne
1491	Bielnik
